Class,Charges,Spell Name,Spell Description
Nature,11,Submerge,"Enemies take a moderate amount of damage, plus 25% damage for each turn they've taken in the current battle."
Nature,12,Succulent Scotch,All the creatures on the battlefield Attack themselves. This spell is a Booze Spell.
Nature,18,Summon Spiderlings,Caster gains 2 stacks of Spiderlings.
Nature,1,Tectonic Upheaval,"Enemies take a massive amount of damage, lose a massive amount of Defense and Speed, and are afflicted with Snared. This spell is an Ultimate Spell."
Nature,7,Tornado,"Target takes a large amount of damage, plus 35% damage for each dead creature."
Nature,3,Torun Attunement,Caster gains 1 stack of Torun Junior.
Nature,12,Toxic Frogmania,"Target takes a small amount of damage, or a massive amount of damage if it is afflicted with Poisoned."
Nature,5,Tsunami,Enemies take a moderate amount of damage and lose a large amount of Speed.
Nature,8,Water Enchantment,"Target gains Splashing, and a large amount of Attack."
Nature,25,Web,Target is afflicted with Snared.
Nature,6,Whirlwind,Enemies take a moderate amount of damage that ignores 30% of their Defense.
Nature,8,Wild Growth,"Target gains Mending, and a large amount of Maximum Health."
Nature,8,Wind Enchantment,"Target gains Agile, and a large amount of Speed."
Nature,13,Wind Shear,"Enemies take a small amount of damage, plus 35% more damage for each Nature creature fighting on your side."
Nature,14,Windcutter,Enemies take a moderate amount of damage. This damage ignores the Shelled and Barrier buffs.
Nature,10,Wrath of Nature,Your creatures gain a moderate amount of Attack.
Sorcery,10,Absolute Focus,Target's next attack deals 100% more damage. This effect does not stack.
Sorcery,14,Amber Ale,Target Attacks a random enemy for 300% normal damage. This spell is a Booze Spell.
Sorcery,15,Arcane Enchantment,Target gains Warded and Protected.
Sorcery,5,Arcane Fallacy,Target Casts one of its multiple-target spells on its allies.
Sorcery,12,Arid Alcohol,"Enemies are afflicted with a random debuff (minimum of 1, maximum of 3) for every 2 debuffs they have. This spell is a Booze Spell."
Sorcery,15,Astral Dimension,Your creatures' Spell Gems are unsealed. This Spell Gem cannot be Sealed.
Sorcery,10,Banish,Target's minions are removed.
Sorcery,12,Black Ice,"Each enemy has a 50% chance to be afflicted with Frozen, and each of your creatures have a 50% chacne to gain Invisible."
Sorcery,10,Blank Slate,All creatures lose access to the extra traits they gained during battle.
Sorcery,5,Blinding Beam,Enemies take a large amount of damage and are afflicted with Blind.
Sorcery,14,Blindside,Target takes a small amount of damage. This damage ignores the target's Defense.
Sorcery,10,Blur,Your creatures gain a moderate amount of Speed.
Sorcery,10,Brain Freeze,Enemies' Spell Gems they've cast in the current battle are Sealed.
Sorcery,10,Brightwave,Target Casts all of its healing spells in your favor.
Sorcery,1,Colorwave,"Your creatures Cast one of their spells, plus 1 additional spell for each Sorcery Infusion you have."
Sorcery,6,Conductive Chains,"Deals a moderate amount of damage to the target, then bounces to each of the target's allies at random. The damage is increased by 20% for each bounce."
Sorcery,16,Confusion,Each enemy has a 50% chance to be afflicted with Confused.
Sorcery,18,Counterspell,Target takes a small amount of damage. The amount of damage is increased by 20% for each Charge this Spell Gem is missing.
Sorcery,14,Crystal Shield,Your creatures gain a Barrier that absorbs damage equal to 100% of their Defense.
Sorcery,14,Crystal Spears,"Target takes a moderate amount of damage, plus additional damage equal to 20% of the caster's Current Health."
Sorcery,18,Dark Crystal,Target gains Shelled and Arcane.
Sorcery,18,Deep Submersion,"Target's lowest stat is set equal to its highest stat. Then, its highest stat is set to its minimum value."
Sorcery,15,Dense Fog,Each enemy has a 50% chacne to be afflicted with Sleeping.
Sorcery,12,Discombobulate,"Enemies with Confused either Attack or Cast one of their spells, depending on whether their Attack or Intelligence is higher."
Sorcery,10,Disk of Creation,Target's stat gains and losses are removed.
Sorcery,20,Dispel,Target's buffs and debuffs are removed.
Sorcery,13,Divination,"Target's Ethereal Spell Gems are destroyed, and this creature gains a small amount of Intelligence for each gem destroyed."
Sorcery,10,Drain Life,"Target takes a moderate amount of damage, and all your creatures recover Health equal to 100% of the damage dealt."
Sorcery,3,Drain Power,"Target's Spell Gems lose 1 Charge, and the caster's other Spell Gems gain 1 Charge."
Sorcery,12,Dream Stomp,"Target takes a small amount of damage, or a massive amount of damage if they are afflicted with Sleeping."
Sorcery,1,Eagle Claws,"Caster Attacks each enemy 2 times, and your creatures gain 10% Speed for each attack. This spell is an Ultimate spell."
Sorcery,10,Elemental Barrage,The last 3 Spell Gems that were cast by any creature in the current battle are cast again in your favor.
Sorcery,25,Elemental Tome,Your creatures each gain a random Spell Gem until the end of battle.
Sorcery,15,Emerald Power,Your creatures gain a copy of the Spell Gem in the target's Artifact's Spell Slot.
Sorcery,9,Ethereal Knives,Enemies take a moderate amount of damage. 100% of the damage is based on the caster's Speed instead of Intelligence.
Sorcery,15,Exhaustion,Increases battle fatigue by 1 unit.
Sorcery,30,Extinguish,Kills the target if it has less than 33% Health.
Sorcery,12,Faewind Blade,Target takes a small amount of damage 3 times.
Sorcery,12,Final Form,"Target gains Rebirth, Protected and Berserk."
Sorcery,30,Fireworks,Enemies take a small amount of damage and have a 50% chance to be afflicted with Bomb.
Sorcery,15,Flash Freeze,Each enemy has a 50% chance to be afflicted with Frozen.
Sorcery,7,Foxfire,"Target is afflicted with Burning, and all other enemies are afflicted with either Blind or Blighted."
Sorcery,12,Friendly Fire,Target Casts one of its single-target spells on one of its allies.
Sorcery,20,Frost Armor,Target gains Shelled and 30% Defense.
Sorcery,1,Frost Hammer,"Target takes a devastating amount of damage, is afflicted with Frozen, and is sent to the bottom of the Timeline. This spell is an Ultimate spell."
Sorcery,10,Frost Rampart,Your creatures gain Protected.
Sorcery,18,Fulmination,"Target takes a small amount of damage, multiplied by battle fatigue."
Sorcery,7,Galaxy,"Enemies take a small amount of damage, plus 10% more damage for each buff each of your creatures have. Then, these buffs are removed."
Sorcery,1,Gem Bomb,"One of the caster's Ethereal Spell Gems is Sealed. Then, enemies take damage equal to 5% of the caster's highest stat for each Charge the Spell Gem has. This spell is an Ultimate spell."
Sorcery,10,Gravity,"Enemies take damage based on how high they are on the Timeline. The higher their position, the more damage they take."
Sorcery,4,Greater Dispel,Your creatures' debuffs and enemies' buffs are removed.
Sorcery,5,Haste,Target gains a massive amount of Speed.
Sorcery,1,Hungering Void,"Enemies take a moderate amount of damage. Then, enemies take a moderate amount of damage for every time this spell has been Cast in the current battle. This spell is an Ultimate spell."
Sorcery,5,Hypertrophy,"Target gains Maximum Health equal to 35% of its other stats. Then, those stats are set to their minimum values."
Sorcery,8,Icewolf Bite,Target takes a large amount of damage and is afflicted with Frozen.
Sorcery,4,Improvised Recitation,Caster Casts 3 of their Ethereal Spell Gems.
Sorcery,10,Insight,"Target gains Arcane. If it already has Arcane, it Casts a non-Ethereal Spell Gem."
Sorcery,10,Insincerity,Target Casts all its buffing spells in your favor.
Sorcery,20,Invisibility,Target gains Invisible.
Sorcery,10,Jinx,Target takes a small amount of damage. This damage is increased by 25% for each debuff the target has.
Sorcery,7,Laser Beam,Target takes a large amount of damage and loses Maximum Health equal to 100% of the damage dealt.
Sorcery,8,Lead the Charge,Target takes a small amount of damage for each creature fighting on your side that belongs to the caster's race. 100% of the damage is based on the caster's highest stat.
Sorcery,11,Lingering Insanity,Enemies take a small amount of damage. 100% of the damage is based on the enemies' Intelligence instead of the caster's.
Sorcery,7,Living Ring,Target takes a devastating amount of damage. The damage is based on the caster's lowest stat instead of Intelligence. This spell is an Arsenal Spell.
Sorcery,10,Living Sorcery Lance,"Target takes a small amount of damage, or massive damage if the target is a Sorcery creature. The damage is based on the caster's Attack instead of Intelligence. This spell is an Arsenal Spell."
Sorcery,22,Living Sorcery Shield,"Caster's class is changed to Sorcery, it gains Warded, and it gains a moderate amount of Defense. The potency is based on the caster's Defense instead of Intelligence. This spell is an Arsenal Spell."
Sorcery,5,Living Staff,"Enemies take a moderate amount of damage, plus 20% damage for each non-Ethereal Spell Gem the caster has equipped. This spell is an Arsenal Spell."
Sorcery,3,Living Wizard Hat,Caster's Spell Gems do not consume Charges for the rest of the battle. This spell is an Arsenal Spell.
Sorcery,7,Magic Jelly Beans,"Target takes a moderate amount of damage and is afflicted with a random debuff, or is healed for a moderate amount of Health and gains a random buff; depending on if it is an enemy or an ally."
Sorcery,35,Magic Missile,Target takes a small amount of damage.
Sorcery,5,Magic Suppression,Enemies lose a moderate amount of Intelligence and are afflicted with Silenced.
Sorcery,10,Mass Dispel,All the creatures on the battlefield lose their buffs and debuffs.
Sorcery,15,Master's Hand,"Target takes a small amount of damage, plus 20% more damage for each time the caster has Attacked in the current battle."
Sorcery,1,Mega Magic,Enemies take a large amount of damage.
Sorcery,20,Memento of Intelligence,This spell doesn't do anything when Cast. The caster has 5% more Intelligence for each Charge this Spell Gem is missing.
Sorcery,7,Mental Barrier,Your creatures gain a Barrier that absorbs a massive amount of damage.
Sorcery,12,Mind Blast,Target takes a moderate amount of damage and is afflicted with Stone.
Sorcery,20,Mind Control,Target Attacks one of its allies.
Sorcery,23,Mind Crunch,Target takes damage equal to its Intelligence minus its Attack.
Sorcery,11,Mind Crush,Target loses a moderate amount of Intelligence and is afflicted with Sleeping.
Sorcery,14,Mind Explosion,Target takes a moderate amount of damage. 100% of the damage is based on the taret's Intelligence instead of the caster's Intelligence.
Sorcery,6,Mind Fizzle,Enemies lose a large amount of Intelligence.
Sorcery,16,Mind Flay,"Target takes a small amount of damage, plus 50% more for each creature between it and the caster on the Timeline."
Sorcery,12,Mind Games,Target heals your creatures for a large amount of Health (based on the caster's Intelligence).
Sorcery,13,Mind Storm,Each enemy takes a small amount of damage and has a 50% chance to be afflicted with Stone.
Sorcery,15,Mind Tricks,Target Attacks itself for 50% normal damage.
Sorcery,5,Morph: Sorcery,Your creatures gain a large amount of Intelligence and their classes become Sorcery until the end of battle.
Sorcery,5,Mutagen,Target is resurrected with a large amount of Health and gains a large amount of stats (excluding Health).
Sorcery,8,Obelisk of Summoning,Target's minions gain their maximum amount of stacks.
Sorcery,15,Permafrost,Enemies that are Frozen are afflicted with Snared.
Sorcery,10,Pop,Random enemies take a moderate amount of damage. The number of times that enemies take damage is equal to the number of times this Spell Gem has been Cast in the current battle.
Sorcery,7,Potent Porter,Caster Casts 2 of its non-Ethereal Spell Gems. This spell is a Booze Spell.
Sorcery,15,Powered Blast,"Target takes a small amount of damage, or a massive amount of damage if the target is the same class as the caster."
Sorcery,4,Prismatic Channelling,"Enemies take a large amount of damage, plus 20% more damage for each different class of creature fighting on your side."
Sorcery,15,Psionic Blast,Target takes a moderate amount of damage and is afflicted with Weak.
Sorcery,12,Psychic Rapture,"Enemies take a small amount of damage, plus 10% more damage for each Ethereal Spell Gem the caster has, up to 200% extra damage."
Sorcery,1,Quietus,"The first time this Spell Gem is Cast, your creatures gain a squad of minions.
The second time this Spell Gem is Cast, enemies take a massive amount of damage plus 15% more damage for each minion each of your creatures have, and then their minions are removed.
Then, this spell is reset. This spell is an Ultimate Spell."
Sorcery,20,Rabid Dementia,Target Attacks a random enemy for 200% normal damage.
Sorcery,1,Recharge,Caster's Spell Gems gain 3 Charges.
Sorcery,10,Replicate,Caster Casts 2 of its other spells.
Sorcery,13,Resonance,"Enemies take a small amount of damage, or a large amount of damage if they are afflicted with Silenced."
Sorcery,13,Reverberate,Enemies that are afflicted with Confused Attack one of their allies.
Sorcery,20,Reverse Polarity,Target's debuffs are converted to random buffs.
Sorcery,10,River Against the Current,Enemies' buffs are removed.
Sorcery,30,Ruby Power,Caster Casts the Spell Gem in the target's Artifact Spell Slot. This spell is even more impressive if you manage to read its description ten times out loud.
Sorcery,20,Rune of Sah,"Target takes a large amount of damage, and the caster's on-attack effects are activated."
Sorcery,15,Sapphire Power,Target's Artifact's Spell Slot has a 100% chance to activate for the rest of the battle.
Sorcery,10,Scourge Nature,"Target takes a small amount of damage, or massive damage if the target is a Nature creature."
Sorcery,5,Self Analysis,Caster gains stats equal to 5% of its allies' stats (other than Health).
Sorcery,10,Shatter,"Target takes a small amount of damage, or massive damage if the target is Frozen."
Sorcery,8,Shattering Ice,Target takes a moderate amount of damage and is afflicted with Frozen. All other enemies are afflicted with Bleeding.
Sorcery,6,Sorcery Orb,Your creatures Cast a random spell that belongs to their class.
Sorcery,7,Spectral Rain,Increases the potency of all creatures' buffs and debuffs by 50%. This spell does not affect Inverted.
Sorcery,15,Spectral Swords,Target takes a moderate amount of damage. The damage is based on the caster's Speed instead of Intelligence.
Sorcery,18,Spell Blast,Target takes a small amount of damage. The amount of damage is increased by 10% for each Charge this Spell Gem has.
Sorcery,10,Spell Breath,Enemies take a moderate amount of damage. 50% of the damage is based on the caster's Attack instead of Intelligence.
Sorcery,8,Spell Flow,Target gains Arcane and Warded.
Sorcery,5,Spell Leak,Enemies' Ethereal Spell Gems are destroyed.
Sorcery,10,Spell Lock,All creatures are afflicted with Silenced.
Sorcery,15,Spell Strike,Target takes a moderate amount of damage. 50% of the damage is based on the caster's Attack instead of Intelligence.
Sorcery,10,Spell Ward,Your creatures gain Warded.
Sorcery,5,Steel Storm,Enemies take a massive amount of damage.
Sorcery,5,Stun Beam,Target is sent to the bottom of the Timeline.
Sorcery,5,Subterfuge,"Target Attacks itself. Then, it has a 30% chance to attack itself again. This effect can occur multiple times in a row."
Sorcery,6,Suffocation,Target is afflicted with Silenced and Stone.
Sorcery,8,Summon Animated Gem,Caster gains Animated Gem.
Sorcery,8,Summon Animated Weapon,Caster gains Animated Weapon.
Sorcery,15,Summon Dire Wolf,Caster gains 1 stack of Dire Wolves.
Sorcery,3,Summon Doppelganger,Caster gains Doppelganger.
Sorcery,15,Surrender to Madness,Target is afflicted with Confused and Cursed.
Sorcery,5,Time Stop,"Proceed to the next creature's turn on the Timeline, ignoring all subsequent effects as a result of casting this spell."
Sorcery,15,Timewalk,Target executes its start-of-turn effects and increases the number of turns it has taken by 1. This spell can only ever target 1 creature and can only be Cast once at a time.
Sorcery,3,True Magic,"Enemies take a moderate amount of damage, plus 5% more damage for each Charge each of its other Spell Gems are missing."
Sorcery,20,Truesight,Enemies are no longer Invisible.
Sorcery,5,Universal Recall,The number of turns all creatures have taken in the current battle is set to 0.
Sorcery,1,Unstable Anomaly,Enemies take a small amount of damage multiplied by the number of times your creatures have Cast a spell in the current battle. This is an Ultimate Spell.
Sorcery,7,Unstable Equilibrium,Your creatures' Current Health is set equal to that of the target.
Sorcery,12,Usury,Caster gains a small amount of Attack for each turn it has taken in the current battle (up to 5 times).
Sorcery,18,Vaccination,Your creatures gain their lowest stat equal to 100% of the target's Poisoned potency.
Sorcery,15,Vacuum,Caster gains the target's trait.
Sorcery,10,Verdant Spheres,The caster Casts 3 of the target's Spell Gems in your favor.
Sorcery,25,Vertigo,Target is afflicted with Confused.
Sorcery,20,Void Flare,"If the target has been resurrected in the current battle, it is killed."
Sorcery,7,Witchcraft,Enemies with Cursed Cast one of their single-target damage spells on a random creature.
Sorcery,20,Wormhole,Caster swaps positions with the target on the Timeline.
Chaos,,Bazooka,Enemies take a large amount of damage. This spell always deals critical damage.
Sorcery,,Big Bang,"All creatures take a massive amount of damage, plus 3% more damage for each buff, debuff, and minion each creature has. Then, their buffs, debuffs, and minions are removed."
Death,,Black Magic,"Random enemies are afflicted with a random debuff continuously. After each enemy is afflicted with a debuff, this spell has a 50% chance to end."
Nature,,Boulder Crush,"Target takes a massive amount of damage and has a 50% chance to be afflicted with each of Bleeding, Confused, Weak, and Vulnerable."
Chaos,,Chainsaw,"Target takes a large amount of damage continuously and is afflicted with Bleeding and Vulnerable. After the target takes damage, this spell has a 35% chance to end."
Life,,Charity,Each of the target's buffs have a 50% chance to spread to its allies.
Death,,Cloud of Anguish,"Enemies take a small amount of damage, plus 3% more damage for each debuff each enemy has. Enemies are afflicted with 2 random debuffs."
Chaos,,Cluster Bomb,"Random enemies take damage equal to 100% of their Bomb's potency. If they do not already have this debuff, they are afflicted with it. After each enemy is affected by this spell, it has a 25% chance to end."
Sorcery,,Co-Ray,Your other creatures Cast one of their damaging Spell Gems.
Nature,,Compulsion,Target is afflicted with Mania and the caster recovers a small amount of Health.
Sorcery,,Concoction,"Random enemies take a small amount of damage continuously and are afflicted with a random debuff. After each enemy takes damage, this spell has a 25% chance to end."
Nature,,Concussive Hailstorm,Enemies take a large amount of damage and are afflicted with Confused or Frozen.
Sorcery,,Continuum,"Casts a random spell repeatedly. After each cast, this spell has a 25% chance to end."
Death,,Cry of the Mandrake,Enemies each have a 25% chance to be killed.
Death,,Cyanide Gas,Enemies are afflicted with Poisoned and have a 25% chance to be killed.
Death,,Dark Sky,"A random buff is removed from random enemies continuously. After each enemy loses a buff, this spell has a 50% chance to end."
Chaos,,Deadly Duel,"Target has a 50% chance to be killed. Otherwise, the caster is killed."
Chaos,,Death and Destruction,Casts a random spell that belongs to the Cataclysm race. This effect has a 50% chance to repeat indefinitely.
Sorcery,,Deep Freeze,"Enemies have a 50% chance to be afflicted with Frozen. If this happens, or if they're already Frozen, they are afflicted with Snared."
Death,,Delirium,Target is afflicted with Confused and Blind and gains Berserk and Savage.
Chaos,,Demonbreath,"Enemies take a moderate amount of damage and have a 75% chance to be afflicted with Blighted, a 50% chance to be afflicted with Inverted, and a 25% chance to be afflicted with Cursed."
Death,,Eaten Alive,"Target has a 35% chance to be killed. If this happens, the caster recovers 100% Health and Charges."
Nature,,EF5 Twister,"Enemies take a large amount of damage and have a 50% chance to be afflicted with any of Snared, Scorned, or Silenced."
Chaos,,Entropic Swing,"All creatures' end-of-turn effects are activated and the Timeline is shuffled. This spell cannot be Cast manually, and has a 5% chance to be Cast at the start of each creature's turn."
Death,,Euthanasia,A random enemy has a 50% chance to be killed.
Death,,Fate,Each creature has a 50% chance to be killed.
Chaos,,Firebreath,"Target takes a large amount of damage continuously and is afflicted with Burning. After the target takes damage, this spell has a 30% chance to end."
Sorcery,,Gem Conversion,Target's Charges are redistributed.
Sorcery,,Gem Gamble,Target's Charges are set to either 0% or 100%.
Life,,Genesis,"Your allies are killed, and your dead allies are resurrected with 100% Health and Charges. This spell does not work on Ultimate Spell."
Nature,,Giggle,Target recovers a small amount of Health and gains Intelligence equal to 100% of the amount healed.
Chaos,,Grand Explosion,"Enemies take a large amount of damage and are afflicted with Bomb. For each enemy that already has Bomb, this spell deals 20% more damage."
Chaos,,Grand Fireball,Target takes a massive amount of damage and is afflicted with Burning. Adjacent targets take 35% of this damage and are afflicted with Burning.
Death,,Hemorrhage,"Target takes 100% of its Bleeding damage continuously. After the target takes damage, this spell has a 35% chance to end."
Life,,Hierarchy,All creatures Attack a random creature on the opposite side. Each creature deals 25% more damage for each creature below it on the Timeline.
Life,,Holy Water,"A random debuff is removed from random allies continuously. After each ally loses a debuff, this spell has a 50% chance to end."
Death,,Hunger,"Random enemies take a large amount of damage and the caster gains a Barrier equal to 50% of the damage dealt. After each enemy takes damage, this spell has a 35% chance to end."
Nature,,Hurling of Rocks,"Random enemies take a large amount of damage continuously and are afflicted with Confused and Bleeding. After each enemy takes damage, this spell has a 35% chance to end."
Nature,,Iceicle Rain,"Random enemies take a large amount of damage continuously and are afflicted with Frozen and Bleeding. After each enemy takes damage, this spell has a 35% chance to end."
Nature,,Icicle Spear,"Target takes 1% to 100% of a large amount of damage 3 times. Each time this spell deals damage, it has a 10% chance to kill the target."
Death,,Kill Streak,Casts a random damaging spell for each dead creature on the battlefield.
Sorcery,,Kilonova,"Random enemies take a large amount of damage continuously. After each enemy takes damage, the spell has a 25% chance to end."
Death,,Lamentation,Enemies are afflicted with a random debuff for each dead ally.
Sorcery,,Lucky Gem,"Target recovers 100% Charges. Does not affect Ultimate Spell. This spell cannot be cast manually, but has a 20% chance to cast on an ally at the end of its turn."
Nature,,Magma Shower,"Random enemies take a large amount of damage continuously and are afflicted with Burning and Vulnerable. After each enemy takes damage, this spell has a 35% chance to end."
Sorcery,,Magnification,Casts the last single-target spell your creatures Cast. The spell targets all enemies.
Nature,,Mega Tsunami,"Enemies take a large amount of damage and have a 25% chance to be killed. Otherwise, they are afflicted with Cursed."
Nature,,Mermaid's Kiss,Target recovers a massive amount of Health and gains Mending.
Sorcery,,Momentum,"Random enemies take a small amount damage continuously. After each enemy takes damage, the damage of this spell is increased by 50% and it has a 25% chance to end."
Sorcery,,Mystery Gem,Target's Charges are randomized.
Chaos,,Napalm,"Enemies take a large amount of damage, are afflicted with Burning and Vulnerable, and lose a large amount of Defense."
Death,,Necromancy,Caster gains 1 stack of Zombies for each buff it has.
Chaos,,Nuclear Blast,"Enemies take a large amount of damage and are afflicted with Poisoned, Blighted, and Inverted."
Nature,,Party in the Back,"A random enemy recovers a large amount of Health. This spell cannot be cast manually, but has a 100% chance to be cast after its owner is forcibly moved to the bottom of the Timeline."
Death,,Plaguebearer,Each of the target's debuffs have a 50% chance to spread to its allies.
Death,,Putrescent Odor,"Enemies are afflicted with Poisoned, Blind, and Confused."
Nature,,Quicksand,Enemies have a 50% chance to be afflicted with Snared and to be moved a random number of places down the Timeline.
Nature,,Raiden,"Random enemies take a large amount of damage continuously and are afflicted with Blind and Confused. After each enemy takes damage, this spell has a 35% chance to end."
Life,,Reckoning,"Enemies take a large amount of damage, modified by 1% to 300, chosen randomly."
Nature,,Richter 10,"Random enemies take a massive amount of damage continuously. After each enemy takes damage, this spell has a 50% chance to end."
Nature,,Riptide,"Random enemies are moved one place down the Timeline. After each enemy is moved, this spell has a 10% chance to end."
Chaos,,Searing Flames,"Enemies take a moderate amount of damage, are afflicted with Burning and Disarmed, and their buffs and debuffs are removed."
Nature,,Shattered Rainbow,"Enemies take a small, moderate, large, massive, or devastating amount of damage and are afflicted with 1 to 3 random debuffs."
Sorcery,,Shining Jewel,Target recovers 100% Charges. This spell does not work on Ultimate Spell.
Chaos,,Shotgun,"Target takes a large amount of damage continuously. After the target takes damage, this spell has a 50% chance to end. This spell always deals critical damage."
Chaos,,Shrapnel Grenade,Target takes a massive amount of damage and is afflicted with Bleeding. Each other enemy has a 50% chance to be targeted by this spell as well.
Life,,Silver Lining,Your creatures gain a random buff for each dead ally.
Chaos,,Snipe,Target takes a massive amount of damage and has a 30% chance to be killed. This spell always deals critical damage.
Nature,,Snowball,"Target takes a small amount of damage and is afflicted with Frozen. If it already has this debuff, it is moved 1 place down the Timeline."
Sorcery,,Spontaneous Combustion,"Target has a 35% chance to be killed. If this happens, all other enemies take a massive amount of damage."
Life,,Supremacy,Enemies have a 1% chance to be killed for every 1% Health they're missing.
Sorcery,,Trade Offer,Target gains this creature's Artifact's Trait.
Sorcery,,Treasonous Mind,"Caster's buffs are removed and this Spell Gem's owner steals 5% of the caster's highest stat. This spell cannot be cast manually, but has a 20% chance to be cast by enemies at the start of their turns."
Sorcery,,Ultimus,"Random enemies take a massive amount of damage continuously. After each enemy takes damage, the spell has a 50% chance to end."
Chaos,,Uzi,"Random enemies take a small amount of damage continuously. After each enemy takes damage, this spell has a 20% chance to end. This spell always deals critical damage."
Death,,Voodoo,"Caster takes a small, moderate, large, massive, or devastating amount of damage. Enemies take this amount of damage as well."
Nature,,Waterfall,"Enemies take a moderate amount of damage, plus 15% more damage for each creature above them on the Timeline."
Nature,,Wave of Bliss,"Enemies are afflicted with Mania. If they already have this debuff, they take damage equal to 100% of its potency instead."
Life,,White Magic,"Random allies gain a random buff continuously. After each ally gains a buff, this spell has a 50% chance to end."